Gender,Age,Annual_Income,Education_Level,Marital_Status,Employment_Type,Years_in_Current_Job,Credit_Score,Existing_Loan_Balance,Loan_Amount_Requested,Credit_Card_Inquiries,Payment_of_Previous_Dues,Approved
Male,28,420888,Postgraduate,Married,Salaried,6.0,656.0,360421,289394,1,Paid on Time,1
Female,55,297315,Graduate,Single,Salaried,14.0,684.0,394131,274095,1,Delayed,0
Female,25,16921,Undergraduate,Married,Student,0.0,723.0,22982,52103,0,Paid on Time,0
Female,59,319426,Postgraduate,Single,Self-Employed,17.0,628.0,289585,63676,0,Delayed,0
Male,41,17698,Undergraduate,Married,Student,0.0,482.0,1997,10065,1,Paid on Time,1
Male,52,495297,Graduate,Divorced,Salaried,13.0,685.0,521012,235757,3,Delayed,1
Female,31,522605,Postgraduate,Single,Salaried,1.0,670.0,568734,596429,2,Delayed,0
Male,31,744124,High School,Married,Salaried,3.0,667.0,811655,459270,2,Delayed,0
Male,27,124173,Undergraduate,Married,Self-Employed,0.0,574.0,115612,121564,1,Paid on Time,1
Male,29,380671,Postgraduate,Married,Self-Employed,4.0,462.0,58076,298876,2,Paid on Time,1
Male,55,324481,Graduate,Single,Salaried,18.0,646.0,70144,291228,0,Delayed,1
Female,61,343897,Graduate,Married,Salaried,18.0,555.0,423753,210423,1,Paid on Time,1
Male,63,325463,Undergraduate,Married,Salaried,20.0,705.0,151551,336239,1,Paid on Time,1
Female,51,369456,Graduate,Single,Self-Employed,5.0,724.0,490833,123023,3,Paid on Time,1
Male,58,490387,High School,Married,Salaried,12.0,495.0,12929,168132,2,Delayed,1
Male,27,376721,Graduate,Married,Salaried,3.0,579.0,2036,128703,3,Delayed,1
Male,34,618121,Undergraduate,Married,Salaried,4.0,820.0,14531,2315407,0,Paid on Time,1
Male,34,347561,Graduate,Single,Salaried,5.0,605.0,109565,490871,2,Paid on Time,1
Female,20,33984,High School,Divorced,Student,0.0,669.0,5799,15568,3,Paid on Time,1
Female,48,433133,Graduate,Married,Self-Employed,13.0,737.0,359876,221765,1,Paid on Time,1
Female,68,599434,Graduate,Single,Self-Employed,6.0,672.0,403192,296363,3,Paid on Time,1
Female,18,577832,Graduate,Married,Self-Employed,0.0,758.0,525295,1852613,1,Paid on Time,1
Female,29,303726,Postgraduate,Married,Salaried,1.0,743.0,87772,1061822,0,Paid on Time,1
Female,56,693015,Graduate,,Self-Employed,1.0,783.0,783632,1423658,0,Paid on Time,1
Male,21,15000,Graduate,Married,Unemployed,0.0,667.0,13735,12842,1,Paid on Time,0
Male,59,1045664,Graduate,Single,Self-Employed,5.0,609.0,346942,776076,2,Paid on Time,1
Male,30,1108988,Postgraduate,Divorced,Salaried,1.0,518.0,663604,394719,2,Paid on Time,1
Male,51,784778,Graduate,Divorced,Self-Employed,20.0,691.0,845447,133163,2,Paid on Time,1
Male,59,49442,Graduate,Married,Student,,774.0,50458,124764,2,Paid on Time,1
Male,38,234083,Graduate,Married,Salaried,10.0,575.0,197450,285165,1,Delayed,0
Female,39,621643,Undergraduate,Divorced,Salaried,13.0,587.0,912899,714321,3,Paid on Time,1
Male,21,50084,Postgraduate,Married,Student,0.0,614.0,9903,68134,2,Delayed,0
Male,35,54237,Undergraduate,Single,Student,0.0,559.0,39724,67205,4,Delayed,0
Male,22,230173,High School,Married,Salaried,1.0,664.0,215453,115686,0,Paid on Time,1
Male,36,537803,High School,,Salaried,13.0,599.0,801885,141732,2,Paid on Time,1
Female,19,575247,Graduate,Married,Salaried,0.0,530.0,468185,404414,2,Paid on Time,1
Male,29,216546,Postgraduate,Single,Salaried,8.0,567.0,143690,127249,0,Delayed,0
Female,34,15208,Postgraduate,Divorced,Student,0.0,794.0,21039,44733,0,Paid on Time,1
Female,27,548924,High School,Married,Salaried,1.0,661.0,416948,107129,1,Paid on Time,1
Male,51,567708,Undergraduate,Single,Salaried,0.0,794.0,799810,2144652,2,Paid on Time,1
Male,23,22190,Undergraduate,Married,Student,0.0,595.0,24977,31954,4,Delayed,0
Female,25,459723,Undergraduate,Married,Salaried,2.0,505.0,115774,102832,3,Delayed,0
Female,68,500105,High School,Single,Self-Employed,,622.0,125625,353848,1,Paid on Time,1
Female,28,637824,Graduate,Single,Salaried,0.0,814.0,304216,2300419,2,Paid on Time,1
Female,29,428408,Graduate,Married,Self-Employed,6.0,417.0,5797,155166,2,Delayed,0
Male,26,15000,Graduate,Married,Unemployed,0.0,475.0,1627,16036,2,Paid on Time,0
Male,19,455345,Graduate,Divorced,Salaried,0.0,620.0,587219,498921,3,Paid on Time,1
Male,25,756585,Undergraduate,Single,Self-Employed,2.0,755.0,453978,764929,2,Paid on Time,1
Female,28,28912,Graduate,Single,Unemployed,0.0,545.0,28116,10000,0,Delayed,0
Female,70,25769,Graduate,Married,Unemployed,0.0,667.0,37937,26548,1,Paid on Time,0
Male,53,661953,High School,Single,Salaried,8.0,644.0,192364,638228,4,Paid on Time,1
Male,27,425906,Undergraduate,Married,Salaried,5.0,769.0,228753,1121779,2,Paid on Time,1
Male,38,316227,Postgraduate,Divorced,Salaried,12.0,850.0,11853,224562,0,Delayed,1
Male,37,435070,Graduate,Married,Salaried,2.0,571.0,151335,411240,0,Delayed,0
Female,65,247268,Graduate,Married,Salaried,19.0,614.0,289088,212241,2,Paid on Time,1
Female,25,1044229,Postgraduate,Married,Salaried,5.0,,1028445,766022,1,Paid on Time,1
Female,53,815167,Postgraduate,Single,Self-Employed,15.0,568.0,958401,968167,0,Delayed,0
Male,46,470814,Graduate,Single,Salaried,5.0,827.0,300365,760064,2,Paid on Time,1
Male,59,39807,High School,Married,Student,0.0,538.0,43925,23668,1,Delayed,0
Female,29,476359,High School,Single,Self-Employed,3.0,775.0,428406,1052716,5,Paid on Time,1
Female,31,292898,High School,Single,Salaried,7.0,607.0,144289,416462,2,Paid on Time,1
Female,65,338008,Undergraduate,Married,Salaried,16.0,643.0,209093,196707,2,Delayed,1
Female,67,1277630,Graduate,Single,Self-Employed,15.0,662.0,1037430,924316,2,Paid on Time,1
Male,38,804624,Undergraduate,Divorced,Salaried,7.0,601.0,1154355,380468,2,Delayed,0
Male,39,329341,Undergraduate,Married,Salaried,2.0,727.0,460103,905848,3,Paid on Time,1
Male,38,54215,Graduate,Married,Student,0.0,692.0,80222,33055,1,Paid on Time,0
Male,61,479786,Postgraduate,Married,Salaried,10.0,803.0,11811,1344128,2,Paid on Time,1
Male,67,16229,Graduate,,Student,0.0,713.0,17458,10845,1,Paid on Time,1
Male,47,16530,Undergraduate,Married,Student,0.0,530.0,22182,10000,1,Paid on Time,0
Female,56,196696,Graduate,Single,Salaried,0.0,634.0,218121,76481,0,Paid on Time,1
Male,37,793511,Postgraduate,Single,Self-Employed,3.0,808.0,495627,2485173,1,Paid on Time,1
Male,41,700807,Graduate,Married,Salaried,5.0,593.0,761908,157958,0,Delayed,0
Female,40,47223,Postgraduate,Single,Student,0.0,798.0,31459,51123,3,Paid on Time,1
Male,24,2870369,Undergraduate,Single,Self-Employed,1.0,722.0,2000000,3000000,1,Paid on Time,1
Male,26,627132,Postgraduate,Divorced,Salaried,4.0,730.0,734074,277516,1,Paid on Time,1
Female,18,1011903,High School,Married,Salaried,0.0,436.0,170645,116851,1,Delayed,0
Male,43,891656,Undergraduate,Single,Self-Employed,6.0,692.0,973720,951931,0,Paid on Time,1
Male,55,291110,High School,Divorced,Salaried,3.0,850.0,69874,725725,0,Paid on Time,1
Male,55,15000,Graduate,Single,Unemployed,0.0,562.0,21066,10000,0,Delayed,0
Male,61,279703,Graduate,Married,Salaried,24.0,809.0,89528,80914,1,Paid on Time,1
Female,39,300840,Graduate,Married,Salaried,1.0,668.0,161356,122477,5,Paid on Time,1
Female,61,666028,Graduate,Single,Salaried,5.0,569.0,428697,911559,0,Delayed,0
Female,27,393584,Postgraduate,Married,Self-Employed,4.0,621.0,420591,399022,0,Paid on Time,1
Female,23,564759,Graduate,Divorced,Self-Employed,2.0,479.0,79205,692959,0,Delayed,0
Female,34,481662,Undergraduate,Single,Salaried,2.0,653.0,694839,560302,0,Delayed,0
Male,68,1112625,Undergraduate,Married,Self-Employed,25.0,691.0,314614,1642496,0,Paid on Time,1
Female,67,471218,Undergraduate,Single,Self-Employed,17.0,850.0,318587,1793273,0,Paid on Time,1
Male,55,1336575,Undergraduate,Married,Salaried,12.0,688.0,408455,259601,2,Paid on Time,1
Female,41,539873,Postgraduate,Married,Salaried,18.0,793.0,544647,101757,2,Paid on Time,1
Female,68,402368,Graduate,Single,Salaried,1.0,550.0,128575,320243,4,Paid on Time,1
Male,27,263462,Graduate,Single,Salaried,2.0,631.0,342985,126571,0,Delayed,0
Male,25,246414,Undergraduate,Married,Salaried,0.0,681.0,363241,198706,1,Paid on Time,1
Male,38,28187,Undergraduate,Single,Student,0.0,563.0,13396,10000,4,Paid on Time,1
Male,23,18268,Undergraduate,Married,Unemployed,0.0,628.0,20259,25071,2,Paid on Time,0
Female,38,327891,High School,Married,Salaried,12.0,747.0,262050,1022688,1,Paid on Time,1
Female,56,391567,Undergraduate,,Salaried,5.0,850.0,211022,882300,3,Paid on Time,1
Male,41,1080193,Undergraduate,Married,Salaried,4.0,732.0,309842,2067248,1,Paid on Time,1
Male,50,383897,Graduate,Divorced,Self-Employed,16.0,579.0,414152,290184,4,Paid on Time,1
Male,35,527937,Undergraduate,Single,Salaried,4.0,646.0,125709,508432,0,Paid on Time,1
Male,45,617244,Postgraduate,Single,Self-Employed,6.0,545.0,259832,532976,0,Paid on Time,1
Male,69,290916,Graduate,Single,Salaried,25.0,675.0,401294,225498,1,Delayed,0
Male,49,626104,Graduate,Married,Self-Employed,14.0,798.0,477433,1721223,2,Paid on Time,1
Female,29,309928,Postgraduate,Married,Salaried,3.0,680.0,397057,362917,0,Paid on Time,1
Male,65,416120,Graduate,Single,Salaried,12.0,649.0,479085,416176,0,Paid on Time,1
Male,59,582556,Graduate,Divorced,Salaried,20.0,643.0,328770,377462,0,Delayed,1
Female,44,314441,Undergraduate,Single,Salaried,4.0,669.0,102833,213836,1,Paid on Time,1
Male,27,53099,Graduate,Married,Student,0.0,816.0,7957,25714,0,Paid on Time,1
Female,63,252094,High School,Married,Salaried,2.0,727.0,363252,432776,2,Paid on Time,1
Female,69,320583,Graduate,Married,Salaried,9.0,546.0,156140,384734,3,Delayed,0
Male,59,25387,Postgraduate,Married,Student,0.0,590.0,25632,10000,0,Paid on Time,1
Male,49,953667,Undergraduate,Married,Salaried,18.0,772.0,1044691,748176,4,Paid on Time,1
Male,59,493892,High School,Single,Salaried,13.0,,146451,632015,2,Paid on Time,1
Male,43,17978,Graduate,Married,Student,0.0,466.0,2494,16092,1,Paid on Time,1
Male,42,515976,Undergraduate,Single,Self-Employed,2.0,755.0,7206,1402255,2,Paid on Time,1
Female,28,418032,Undergraduate,Single,Salaried,3.0,607.0,262233,229993,0,Paid on Time,1
Male,40,257473,Undergraduate,Married,Self-Employed,2.0,579.0,135330,201940,2,Delayed,0
Male,51,433368,Undergraduate,Single,Self-Employed,14.0,754.0,606377,1330503,0,Paid on Time,1
Male,69,243468,Postgraduate,Married,Salaried,24.0,748.0,360098,856172,2,Paid on Time,1
Female,57,434740,High School,Single,Self-Employed,31.0,639.0,187766,636411,1,Paid on Time,1
Male,40,397613,Graduate,Single,Self-Employed,1.0,693.0,363817,513491,1,Paid on Time,1
Male,46,15000,Graduate,Single,Unemployed,0.0,589.0,16767,10000,1,Paid on Time,1
Male,48,28635,Postgraduate,Divorced,Unemployed,0.0,575.0,8208,16628,1,Paid on Time,0
Female,24,450747,Graduate,Married,Salaried,2.0,614.0,464231,517658,2,Paid on Time,1
Male,57,449304,High School,Single,Salaried,2.0,615.0,173678,307833,3,Delayed,0
Female,50,108339,Undergraduate,Single,Salaried,27.0,590.0,27441,77020,0,Paid on Time,1
Female,38,333904,Undergraduate,Single,Salaried,2.0,738.0,426066,1067765,2,Paid on Time,1
Male,19,387393,Graduate,Single,Salaried,0.0,660.0,291985,490744,0,Paid on Time,1
Female,35,586880,Graduate,Single,Self-Employed,4.0,553.0,261423,708934,2,Delayed,0
Male,64,179344,Undergraduate,Single,Salaried,,587.0,108869,106974,0,Delayed,0
Female,50,596574,High School,Married,Salaried,15.0,527.0,369730,250095,1,Delayed,0
Female,54,1020689,High School,Married,Self-Employed,8.0,642.0,1178948,614699,2,Paid on Time,1
Male,51,364160,Graduate,Single,Self-Employed,3.0,794.0,484382,1032537,2,Paid on Time,1
Male,37,312396,Graduate,Single,Self-Employed,2.0,679.0,222892,190749,3,Delayed,0
Female,52,452169,Graduate,Divorced,Salaried,13.0,660.0,218998,80275,2,Delayed,0
Male,68,1286714,High School,Married,Self-Employed,12.0,502.0,1403672,1571154,0,Paid on Time,1
Male,67,20238,Graduate,Married,Student,0.0,786.0,27482,10000,0,Paid on Time,1
Male,35,348260,Graduate,Single,Salaried,3.0,654.0,59596,520504,0,Delayed,0
Female,63,547591,Graduate,Single,Salaried,21.0,660.0,654490,715260,0,Paid on Time,1
Female,41,29420,Graduate,,Unemployed,0.0,535.0,24587,42331,1,Delayed,0
Male,25,210883,High School,Married,Salaried,4.0,637.0,274444,267095,0,Delayed,0
Male,47,587676,Undergraduate,Married,Salaried,1.0,558.0,453190,141922,3,Paid on Time,1
Male,61,987767,Graduate,Married,Salaried,9.0,582.0,1278035,677862,0,Paid on Time,1
Female,70,295135,Graduate,Married,Salaried,6.0,479.0,32729,404662,3,Delayed,0
Male,27,239002,Graduate,Divorced,Salaried,3.0,455.0,6925,54308,1,Delayed,0
Female,40,505203,Graduate,Married,Salaried,2.0,850.0,3747,651943,2,Paid on Time,1
Male,69,345104,Graduate,Married,Salaried,2.0,670.0,320953,260187,2,Delayed,0
Female,66,528027,Undergraduate,Married,Salaried,17.0,764.0,468976,979313,0,Delayed,0
Male,28,399684,Graduate,Married,Self-Employed,6.0,621.0,126034,568135,4,Paid on Time,1
Male,19,15000,Graduate,Single,Unemployed,0.0,632.0,19139,10000,1,Paid on Time,0
Male,43,929837,Graduate,Married,Salaried,1.0,544.0,1210313,404056,4,Delayed,0
Female,53,300689,Postgraduate,Married,Self-Employed,18.0,710.0,362711,551837,2,Paid on Time,1
Female,50,352198,Undergraduate,Divorced,Salaried,4.0,724.0,494795,579145,3,Paid on Time,1
Male,64,998050,Undergraduate,Married,Salaried,2.0,,758512,2525945,2,Paid on Time,1
Female,30,23068,Undergraduate,Single,Unemployed,0.0,650.0,24301,34412,4,Paid on Time,0
Female,57,805611,Undergraduate,Married,Salaried,14.0,679.0,1092972,702480,1,Paid on Time,1
Female,42,497206,Graduate,Single,Salaried,1.0,606.0,340273,371471,4,Delayed,0
Male,21,355924,High School,Married,Salaried,0.0,753.0,330169,859920,1,Paid on Time,1
Male,59,5000000,Graduate,Married,Self-Employed,3.0,513.0,2000000,3000000,1,Delayed,1
Male,36,343074,Undergraduate,Single,Salaried,1.0,570.0,505992,334401,0,Delayed,0
Female,35,343463,Postgraduate,,Salaried,11.0,627.0,225464,93459,6,Delayed,0
Female,54,424975,Undergraduate,Single,Self-Employed,10.0,523.0,202095,585514,4,Delayed,0
Female,47,341210,High School,Married,Salaried,15.0,496.0,42967,316353,3,Paid on Time,1
Male,36,657654,Undergraduate,Single,Salaried,4.0,628.0,276900,211335,1,Paid on Time,1
Male,40,167143,High School,Divorced,Salaried,2.0,606.0,215004,70649,0,Paid on Time,1
Female,33,254357,Postgraduate,Married,Salaried,0.0,634.0,340420,68358,1,Delayed,0
Female,18,602311,High School,Married,Salaried,0.0,651.0,311759,870378,2,Paid on Time,1
Female,29,595072,High School,Single,Self-Employed,5.0,710.0,319883,223934,2,Paid on Time,1
Female,41,955473,High School,Single,Self-Employed,13.0,659.0,124153,1118093,1,Paid on Time,1
Female,51,474558,Postgraduate,Married,Salaried,4.0,824.0,182151,672386,0,Paid on Time,1
Male,70,423452,Graduate,Married,Salaried,2.0,669.0,43128,90431,1,Paid on Time,1
Male,25,385640,Graduate,Married,Salaried,3.0,804.0,438028,691068,1,Paid on Time,1
Female,35,721342,Undergraduate,Married,Salaried,6.0,755.0,195107,72893,1,Paid on Time,1
Female,65,646342,High School,Divorced,Salaried,8.0,764.0,76529,2124760,1,Paid on Time,1
Male,22,456044,Postgraduate,Single,Salaried,1.0,494.0,14987,391596,0,Paid on Time,1
Male,43,685557,High School,Single,Salaried,11.0,669.0,388025,502132,2,Paid on Time,1
Female,47,257999,Postgraduate,Married,Salaried,20.0,687.0,163504,325315,2,Paid on Time,1
Male,30,399058,Graduate,Married,Salaried,2.0,620.0,537877,330040,1,Paid on Time,1
Male,36,315486,Graduate,Single,Salaried,1.0,665.0,132319,294480,0,Paid on Time,1
Male,46,1002858,Graduate,Married,Salaried,1.0,548.0,1079667,1244290,2,Paid on Time,1
Female,20,366504,Graduate,Married,Salaried,0.0,793.0,491982,1066609,0,Paid on Time,1
Female,43,924554,Undergraduate,Married,Self-Employed,6.0,651.0,1188098,945499,0,Paid on Time,1
Male,57,501082,High School,Single,Salaried,8.0,690.0,149549,544073,3,Delayed,0
Female,29,306440,Postgraduate,Married,Salaried,0.0,570.0,128576,143462,0,Paid on Time,1
Male,19,182468,Undergraduate,Married,Salaried,0.0,807.0,14902,101683,1,Paid on Time,1
Male,28,349989,Graduate,Single,Salaried,2.0,732.0,253719,884912,0,Paid on Time,1
Female,61,456778,Graduate,Single,Self-Employed,24.0,754.0,277684,444748,0,Paid on Time,1
Female,45,15000,Undergraduate,Married,Unemployed,0.0,850.0,12269,10000,1,Paid on Time,1
Female,35,285247,Graduate,Single,Salaried,9.0,628.0,195912,130087,2,Paid on Time,1
Female,30,609487,Graduate,Married,Self-Employed,4.0,709.0,672690,1773029,0,Paid on Time,1
Female,54,305664,Undergraduate,Married,Salaried,9.0,702.0,307117,875068,2,Paid on Time,1
Male,39,505427,Graduate,Single,Salaried,8.0,594.0,324941,689687,1,Delayed,0
Male,29,359597,High School,Married,Salaried,2.0,688.0,20412,375893,1,Paid on Time,1
Male,19,28044,Graduate,Married,Student,0.0,570.0,14462,20068,1,Paid on Time,1
Male,54,642523,Graduate,Single,Salaried,18.0,647.0,312441,298579,2,Paid on Time,1
Female,24,15000,Graduate,Divorced,Unemployed,0.0,488.0,268,17426,0,Delayed,0
Male,43,487609,Graduate,Single,Salaried,8.0,571.0,222521,329993,1,Delayed,0
Female,43,602209,Undergraduate,Married,Salaried,0.0,466.0,118920,747753,2,Delayed,0
Female,41,226080,Postgraduate,Married,Self-Employed,0.0,801.0,278502,773496,2,Paid on Time,1
Female,29,39072,Undergraduate,Married,Student,0.0,716.0,46982,57479,1,Delayed,0
Male,33,858680,Undergraduate,Married,Self-Employed,11.0,603.0,1086192,499197,1,Delayed,0
Female,40,774315,Graduate,Married,Self-Employed,7.0,574.0,1004733,1067847,1,Paid on Time,1
Male,57,435483,Undergraduate,Single,Salaried,7.0,765.0,212530,718247,2,Paid on Time,1
Male,26,183813,Graduate,Married,Salaried,1.0,827.0,88853,525069,3,Paid on Time,1
Female,49,703871,Graduate,Married,Salaried,4.0,728.0,355224,1107531,1,Paid on Time,1
Male,32,650880,Postgraduate,Single,Salaried,6.0,782.0,799161,1921395,3,Paid on Time,1
Male,54,21348,Postgraduate,Married,Unemployed,0.0,649.0,25531,10000,3,Paid on Time,0
Female,30,190934,Postgraduate,Divorced,Self-Employed,4.0,442.0,645,242531,2,Paid on Time,1
Male,22,774240,Graduate,Married,Self-Employed,0.0,639.0,1102336,1143106,1,Paid on Time,1
Female,28,288354,Graduate,Single,Salaried,1.0,662.0,123516,337974,0,Paid on Time,1
Female,27,2912633,High School,Divorced,Self-Employed,2.0,756.0,2000000,3000000,1,Paid on Time,1
Female,69,33392,Graduate,Single,Student,0.0,611.0,32052,29294,2,Paid on Time,0
Male,30,575549,Graduate,Married,Salaried,2.0,534.0,97887,597097,0,Delayed,0
Male,58,345085,Graduate,Divorced,Salaried,9.0,471.0,48018,127688,1,Delayed,0
Female,70,951785,Graduate,Married,Self-Employed,17.0,716.0,761778,1145300,5,Paid on Time,1
Male,63,268159,Graduate,Married,Salaried,16.0,620.0,245729,327818,2,Paid on Time,1
Female,67,29114,Undergraduate,Married,Unemployed,0.0,539.0,19517,41440,2,Paid on Time,0
Female,32,301720,Undergraduate,Married,Salaried,1.0,712.0,364038,350569,0,Paid on Time,1
Female,59,476231,High School,Married,Salaried,8.0,729.0,453724,321729,1,Paid on Time,1
Male,24,497418,Graduate,Married,Salaried,2.0,629.0,143948,733328,1,Paid on Time,1
Male,57,358008,Graduate,Married,Salaried,7.0,750.0,404222,482550,3,Paid on Time,1
Female,45,248160,Undergraduate,Single,Salaried,15.0,715.0,187073,778242,4,Paid on Time,1
Male,49,419785,Undergraduate,Married,Salaried,5.0,635.0,23471,264722,4,Paid on Time,1
Male,52,17037,Undergraduate,Single,Student,0.0,628.0,10090,24340,0,Paid on Time,1
Female,32,24522,Postgraduate,Divorced,Student,0.0,616.0,14776,23034,2,Paid on Time,1
Female,65,215610,Graduate,Married,Salaried,13.0,649.0,259195,146864,1,Paid on Time,1
Female,53,1360929,Postgraduate,Single,Salaried,2.0,799.0,477618,1082617,1,Paid on Time,1
Female,38,665865,Undergraduate,Divorced,Salaried,13.0,768.0,451991,730298,1,Paid on Time,1
Male,23,1295900,Graduate,Married,Self-Employed,0.0,701.0,105758,3000000,4,Paid on Time,1
Female,18,172140,High School,Married,Salaried,0.0,832.0,227596,55444,0,Paid on Time,1
Female,21,628600,Undergraduate,Single,Salaried,0.0,764.0,418482,447366,2,Paid on Time,1
Male,28,449418,Graduate,Divorced,Salaried,8.0,634.0,577452,166141,2,Delayed,0
Male,61,294277,Graduate,Single,Self-Employed,11.0,707.0,298942,110545,2,Paid on Time,1
Female,43,238320,Graduate,Married,Salaried,2.0,786.0,114341,661098,3,Paid on Time,1
Female,54,472999,Undergraduate,Divorced,Self-Employed,13.0,658.0,505664,697096,1,Delayed,0
Female,40,21927,Graduate,Married,Unemployed,0.0,629.0,15420,10000,1,Paid on Time,1
Female,46,304134,Graduate,Married,Salaried,12.0,832.0,155671,978045,1,Paid on Time,1
Male,38,329008,Graduate,Married,Salaried,0.0,704.0,329630,259380,0,Paid on Time,1
Male,65,156053,Postgraduate,Married,Salaried,19.0,754.0,181256,608254,1,Paid on Time,1
Female,62,476846,Postgraduate,Single,Salaried,18.0,578.0,492543,386184,1,Delayed,0
Female,62,849881,Postgraduate,Single,Salaried,1.0,740.0,590064,2894110,1,Paid on Time,1
Female,66,653259,Graduate,Single,Salaried,3.0,631.0,254093,221309,2,Paid on Time,1
Female,44,294219,High School,Married,Self-Employed,6.0,646.0,357650,394064,1,Delayed,0
Male,56,189925,Undergraduate,Single,Salaried,9.0,553.0,98755,40699,2,Delayed,0
Male,57,594294,High School,Single,Salaried,2.0,627.0,546413,78475,3,Delayed,0
Female,30,361150,Undergraduate,Married,Salaried,9.0,507.0,62487,394572,1,Paid on Time,1
Female,40,391133,Undergraduate,Divorced,Salaried,,763.0,434320,201602,1,Paid on Time,1
Female,33,614410,Postgraduate,Single,Salaried,6.0,595.0,878218,806181,1,Delayed,0
Female,47,256978,Graduate,Single,Salaried,11.0,684.0,173185,249213,2,Paid on Time,1
Female,21,698180,Undergraduate,Married,Salaried,0.0,534.0,574278,393336,1,Delayed,0
Male,57,58441,Postgraduate,Single,Student,0.0,698.0,78850,28530,0,Paid on Time,1
Male,33,536717,Postgraduate,Divorced,Salaried,7.0,397.0,85370,115232,1,Delayed,0
Male,48,282833,High School,Married,Self-Employed,11.0,559.0,408246,300199,1,Paid on Time,1
Female,70,303620,Undergraduate,Single,Salaried,3.0,785.0,121173,1116230,0,Paid on Time,1
Male,59,1086086,Graduate,Married,Self-Employed,,583.0,765679,1259295,0,Delayed,0
Male,42,264441,Graduate,Single,Salaried,11.0,629.0,180736,255754,1,Paid on Time,1
Male,61,698791,Undergraduate,Single,Self-Employed,1.0,433.0,66119,186012,0,Delayed,0
Male,29,597864,Undergraduate,Single,Salaried,3.0,785.0,818887,1989544,1,Paid on Time,1
Female,43,479708,Graduate,Divorced,Salaried,5.0,624.0,147880,696314,0,Paid on Time,1
Male,54,344873,Graduate,Married,Salaried,23.0,782.0,462938,387977,3,Paid on Time,1
Male,65,416043,Undergraduate,Married,Salaried,14.0,581.0,356419,286449,1,Delayed,0
Female,50,338808,Postgraduate,Single,Salaried,17.0,501.0,272829,40545,1,Delayed,0
Male,45,27133,High School,Married,Student,0.0,791.0,16951,90744,3,Paid on Time,1
Male,26,340802,Postgraduate,Married,Salaried,3.0,689.0,275867,43978,1,Paid on Time,1
